TRIMESTRE,CAC40,ExchangeRate,LendingRate
2008-12-31,2973.919922,1.285099,2.431
2009-03-31,3159.850098,1.323522,2.8776
2009-06-30,3426.27002,1.426005,2.8335
2009-09-30,3607.689941,1.473297,2.8154
2009-12-31,3739.459961,1.387694,2.719
2010-03-31,3816.98999,1.329805,2.4817
2010-06-30,3643.139893,1.304002,2.4647
2010-09-30,3833.5,1.377809,1.9495
2010-12-31,4005.5,1.357276,1.8484
2011-03-31,4106.919922,1.482096,1.8305
2011-06-30,3672.77002,1.433199,1.857
2011-09-30,3242.840088,1.414007,1.8484
2011-12-31,3298.550049,1.313957,1.8881
2012-03-31,3212.800049,1.324152,2.1698
2012-06-30,3291.659912,1.225941,2.132
2012-09-30,3429.27002,1.29626,2.1741
2012-12-31,3732.600098,1.356834,1.9911
2013-03-31,3856.75,1.309586,2.1584
2013-06-30,3992.689941,1.326489,1.9547
2013-09-30,4299.890137,1.372401,1.954
2013-12-31,4165.720215,1.355877,1.9853
2014-03-31,4487.390137,1.381368,1.9978
2014-06-30,4246.140137,1.339603,1.8189
2014-09-30,4233.089844,1.261336,1.5928
2014-12-31,4604.25,1.128796,1.347
2015-03-31,5033.640137,1.083025,1.951
